Rank,Score,Country or Region
1,7.769,Finland
2,7.600,Denmark
3,7.554,Norway
4,7.494,Iceland
5,7.488,Netherlands
6,7.480,Switzerland
7,7.343,Sweden
8,7.307,New Zealand
9,7.278,Canada
10,7.246,Austria
11,7.228,Australia
12,7.167,Costa Rica
13,7.139,Israel
14,7.090,Luxembourg
15,7.054,United Kingdom
16,7.021,Ireland
17,6.985,Germany
18,6.923,Belgium
19,6.892,United States of America
20,6.852,Czech Republic
21,6.825,United Arab Emirates
22,6.726,Malta
23,6.595,Mexico
24,6.592,France
25,6.446,Taiwan
26,6.444,Chile
27,6.436,Guatemala
28,6.375,Saudi Arabia
29,6.374,Qatar
30,6.354,Spain
31,6.321,Panama
32,6.300,Brazil
33,6.293,Uruguay
34,6.262,Singapore
35,6.253,El Salvador
36,6.223,Italy
37,6.199,Bahrain
38,6.198,Slovakia
39,6.192,Trinidad & Tobago
40,6.182,Poland
41,6.174,Uzbekistan
42,6.149,Lithuania
43,6.125,Colombia
44,6.118,Slovenia
45,6.105,Nicaragua
46,6.100,Kosovo
47,6.086,Argentina
48,6.070,Romania
49,6.046,Cyprus
50,6.028,Ecuador
51,6.011,Kuwait
52,6.008,Thailand
53,5.940,Latvia
54,5.895,South Korea
55,5.893,Estonia
56,5.890,Jamaica
57,5.888,Mauritius
58,5.886,Japan
59,5.860,Honduras
60,5.809,Kazakhstan
61,5.779,Bolivia
62,5.758,Hungary
63,5.743,Paraguay
64,5.718,Northern Cyprus
65,5.697,Peru
66,5.693,Portugal
67,5.653,Pakistan
68,5.648,Russia
69,5.631,Philippines
70,5.603,Serbia
71,5.529,Moldova
72,5.525,Libya
73,5.523,Montenegro
74,5.467,Tajikistan
75,5.432,Croatia
76,5.430,Hong Kong
77,5.425,Dominican Republic
78,5.386,Bosnia and Herzegovina
79,5.373,Turkey
80,5.339,Malaysia
81,5.323,Belarus
82,5.287,Greece
83,5.285,Mongolia
84,5.274,North Macedonia
85,5.265,Nigeria
86,5.261,Kyrgyzstan
87,5.247,Turkmenistan
88,5.211,Algeria
89,5.208,Morocco
90,5.208,Azerbaijan
91,5.197,Lebanon
92,5.192,Indonesia
93,5.191,China
94,5.175,Vietnam
95,5.082,Bhutan
96,5.044,Cameroon
97,5.011,Bulgaria
98,4.996,Ghana
99,4.944,Ivory Coast
100,4.913,Nepal
101,4.906,Jordan
102,4.883,Benin
103,4.812,Congo (Brazzaville)
104,4.799,Gabon
105,4.796,Laos
106,4.722,South Africa
107,4.719,Albania
108,4.707,Venezuela
109,4.700,Cambodia
110,4.696,Palestinian Territories
111,4.681,Senegal
112,4.668,Somalia
113,4.639,Namibia
114,4.628,Niger
115,4.587,Burkina Faso
116,4.559,Armenia
117,4.548,Iran
118,4.534,Guinea
119,4.519,Georgia
120,4.516,Gambia
121,4.509,Kenya
122,4.490,Mauritania
123,4.466,Mozambique
124,4.461,Tunisia
125,4.456,Bangladesh
126,4.437,Iraq
127,4.418,Congo (Kinshasa)
128,4.390,Mali
129,4.374,Sierra Leone
130,4.366,Sri Lanka
131,4.360,Myanmar
132,4.350,Chad
133,4.332,Ukraine
134,4.286,Ethiopia
135,4.212,Eswatini
136,4.189,Uganda
137,4.166,Egypt
138,4.107,Zambia
139,4.085,Togo
140,4.015,India
141,3.975,Liberia
142,3.973,Comoros
143,3.933,Madagascar
144,3.802,Lesotho
145,3.775,Burundi
146,3.663,Zimbabwe
147,3.597,Haiti
148,3.488,Botswana
149,3.462,Syria
150,3.410,Malawi
151,3.380,Yemen
152,3.334,Rwanda
153,3.231,Tanzania
154,3.203,Afghanistan
155,3.083,Central African Republic
156,2.853,South Sudan
